Module,Session Name,Sub Topics / Learning Objectives
Module 1: Foundations of Data,The AI Landscape & Lab Setup,AI vs ML vs GenAI; History of AI; VS Code installation; Managing API Keys and Secrets
Module 1: Foundations of Data,Computing & Programming Foundations,Computer basics; Hardware vs Software; Program & Programming; Programming languages; IDE · Terminal/CLI; Files & folders; File types; How code runs
Module 1: Foundations of Data,Terminal & Version Control,Command Line (CLI) basics; Git basics; GitHub setup; Add; Commit; Push; Pull
Module 1: Foundations of Data,Python: Logic & Flow,Variables; Data types (Int; String; Bool); Conditionals (If-Else); Basic math operators
Module 1: Foundations of Data,Python: Loops & Automation,For loops; While loops; Iterating over lists; Loop control (Break; Continue)
Module 1: Foundations of Data,Python: Functions & Modularity,Defining functions; Parameters and Arguments; Return values; Variable scope
Module 1: Foundations of Data,Python: Files & JSON,Reading and writing files; Context managers (With blocks); JSON structure; Parsing JSON
Module 1: Foundations of Data,NumPy: Numeric Foundations,NumPy arrays; Vectorized operations; Shape and Reshape; Performance vs Python lists
Module 1: Foundations of Data,Pandas: The Data Table,Pandas Series vs DataFrames; Loading CSVs; Basic inspection (Head; Tail); Selection
Module 1: Foundations of Data,Data Cleaning & Handling Nulls,Identifying Nulls; Drop vs Fill; Handling duplicates; Categorical vs Numeric columns
Module 1: Foundations of Data,"The ""Data Query"" Mental Model",Comparing Pandas Merge; SQL Join; and Spreadsheet XLOOKUP; Logic mapping
Module 1: Foundations of Data,Advanced Pandas: Grouping,GroupBy operations; Pivot tables; Aggregations (Sum; Mean; Count); Custom functions
Module 1: Foundations of Data,SQL Basics for AI,SELECT; FROM; WHERE; Sorting with ORDER BY; Limit and Aliases; Schema basics
Module 1: Foundations of Data,SQL: Intermediate Querying,Group By; Having clause; Aggregations; SQL Join deep dive (Inner vs Left)
Module 1: Foundations of Data,Plotting & Visual Storytelling,Matplotlib foundations; Seaborn statistics plots
Module 1: Foundations of Data,Plotting & Visual Storytelling - II,"Plotly interactive charts; Cusomizing Charts, Plots; Color theory"
Module 1: Foundations of Data,The EDA Checklist,EDA steps; Correlation analysis; Outlier detection; Building a visual story
Module 1: Foundations of Data,APIs: The Agent's Hands,Requests library; GET vs POST; Handling status codes; Authentication headers
Module 1: Foundations of Data,Streamlit for AI Demos,Streamlit UI components; Displaying DataFrames; Creating buttons and inputs
Module 1: Foundations of Data,Module 1 Review & Ethics,API Terms of Service; Data ethics; PII hygiene; Module 1 knowledge check
Module 2: Classical ML,The ML Workflow & Habits,Problem framing; Features vs Labels; Training/Validation/Test split; Baselines
Module 2: Classical ML,Data Prep & Feature Engineering,Categorical encoding; Scaling; Normalization; Handling class imbalance
Module 2: Classical ML,Avoiding Traps: Leakage,Data leakage guard; Simple Cross-validation; Overfitting vs Underfitting
Module 2: Classical ML,Regression: Predicting Values,Linear Regression; Ordinary Least Squares; Coefficients; Understanding slopes
Module 2: Classical ML,Regression: Regularization,Lasso and Ridge regression; Alpha tuning; The Bias-Variance tradeoff
Module 2: Classical ML,Logistic Regression & Classification Basics,Sigmoid; Probabilities; Decision boundaries
Module 2: Classical ML,Classification Metrics & ROC-AUC,Precision; Recall; F1; Confusion Matrix; ROC curve
Module 2: Classical ML,Decision Trees & Random Forests,Tree logic; Splits; Gini; Overfitting in tree-based models
Module 2: Classical ML,Bagging & Ensemble Methods,Bagging; Ensembles; tree vs Ensemble performance; Feature Importance
Module 2: Classical ML,Clustering; Segmentation,K-Means; Elbow method; Agglomerative clustering; Hierarchical clustering; Dendrogram basics; Use cases
Module 2: Classical ML,PCA & Dimensionality Reduction,PCA; Variance; Visualization
Module 2: Classical ML,Model Selection; Comparison,"Model evaluation; Bias-variance; Selection strategies; Hyperparameter tuning (Grid Search, Random Search); Cross-validation;"
Module 2: Classical ML,"Validation, Leakage & Imbalance",Train/Test split; Cross-validation; Data leakage; Class imbalance; sklearn Pipelines
Module 2: Classical ML,End-to-End ML Workflow,Pipeline building; Training; Evaluation; Reporting
Module 3: GenAI & Agents,LLM Foundations & Token Mechanics,Tokens; Context windows; Temperature; Probabilistic generation
Module 3: GenAI & Agents,Prompt Engineering & Reasoning Techniques,Zero-shot; Few-shot; Chain-of-thought; Prompt templates
Module 3: GenAI & Agents,LLM APIs & JSON Handling,API calls; Authentication; Request/response; JSON parsing
Module 3: GenAI & Agents,Structured Outputs & Validation,JSON schema; Output control; Validation techniques
Module 3: GenAI & Agents,Embeddings & Vector Search,Text embeddings; Similarity; Vector databases
Module 3: GenAI & Agents,RAG Systems & Context Retrieval,Retrieval pipeline; Context injection; Accuracy improvement
Module 3: GenAI & Agents,Agents; Reasoning Loops,ReAct framework; Planning; Action loops
Module 3: GenAI & Agents,Tool Use & Memory,Function calling; Tool integration; Memory handling
Module 3: GenAI & Agents,"Production Systems, APIs & Guardrails",Logging; Error handling; Monitoring; FastAPI; Endpoints
Module 3: GenAI & Agents,Evaluation and Deployment,Testing; Evaluation; Deployment workflows
